#{"t_start": 1756031459.35525, "env_id": "None"}
r,l,t
0.0,7,398.389393
0.0,25,398.473565
0.0,4,398.517997
0.0,2,398.541328
0.0,75,398.720901
0.0,13,398.834159
0.0,3,398.866552
0.0,34,398.881721
0.0,14,399.03395
0.0,9,399.119475
0.0,6,399.193417
0.0,2,399.220491
0.0,11,399.317479
2.0,24,399.563407
0.0,74,399.634067
0.0,21,399.869361
0.0,143,399.895303
0.0,5,399.945992
0.0,8,400.025199
0.0,61,400.623536
2.0,314,401.045391
0.0,37,401.379728
0.0,12,401.488106
0.0,15,401.620966
0.0,10,401.726737
0.0,229,401.777754
0.0,203,401.797334
0.0,7,401.862699
0.0,2,401.887414
0.0,8,401.958026
0.0,28,401.989771
0.0,7,402.052052
0.0,29,402.307318
0.0,5,402.355594
0.0,67,402.395348
0.0,15,402.495726
0.0,79,402.675695
0.0,227,402.716225
0.0,26,402.737913
0.0,4,402.759347
0.0,46,402.825371
0.0,9,402.825427
0.0,29,403.089288
2.0,37,403.157838
0.0,15,403.278086
0.0,47,403.691063
0.0,151,404.014846
0.0,1,404.027811
0.0,2,404.047958
0.0,6,404.10306
1.0,158,404.157309
0.0,9,404.233793
0.0,18,404.272678
0.0,10,404.341346
0.0,58,404.784508
0.0,34,405.081197
0.0,164,405.157792
0.0,239,405.205905
0.0,5,405.205962
0.0,35,405.4008
0.0,26,405.440828
0.0,17,405.558479
0.0,20,405.638611
0.0,146,405.663022
0.0,14,405.787611
0.0,3,405.822868
0.0,3,405.858947
0.0,31,405.888612
0.0,4,405.922215
1.0,88,406.103762
0.0,9,406.198285
0.0,1,406.211739
0.0,31,406.500648
0.0,118,407.117642
0.0,14,407.273647
0.0,177,407.492865
0.0,24,407.528383
0.0,3,407.558798
0.0,11,407.604868
0.0,2,407.625473
0.0,2,407.647006
0.0,110,407.659234
0.0,2,407.68266
0.0,32,407.889976
0.0,51,408.146356
0.0,55,408.193843
1.0,20,408.362341
0.0,9,408.447749
0.0,14,408.576603
0.0,112,408.86532
0.0,301,408.86538
0.0,4,408.898176
0.0,10,408.944701
0.0,2,408.963466
0.0,8,408.963518
0.0,74,409.187701
0.0,34,409.255079
0.0,16,409.331757
0.0,148,409.406483
0.0,1,409.418431
0.0,20,409.485866
0.0,30,409.510964
0.0,80,409.631992
0.0,8,409.697254
0.0,37,409.729612
0.0,4,409.744662
2.0,32,409.775297
0.0,9,409.831876
0.0,14,409.892545
0.0,15,409.946435
0.0,21,410.05501
0.0,79,410.553627
1.0,107,410.586202
0.0,141,410.654889
0.0,22,410.819157
0.0,24,411.005366
0.0,3,411.03316
0.0,46,411.079854
0.0,4,411.079978
0.0,28,411.290696
0.0,3,411.316384
0.0,4,411.359352
0.0,116,411.537052
0.0,31,411.75815
0.0,226,411.859767
0.0,6,411.907088
0.0,4,411.939543
0.0,37,412.034101
0.0,14,412.142313
0.0,13,412.246019
0.0,125,412.285625
0.0,14,412.387464
0.0,175,412.399631
0.0,2,412.411621
0.0,27,412.460053
0.0,11,412.541376
0.0,25,412.59498
0.0,21,412.750242
0.0,36,412.810014
0.0,13,412.850034
0.0,16,412.930417
0.0,19,413.002186
0.0,140,413.021004
0.0,28,413.23171
0.0,165,413.640454
0.0,102,413.747734
0.0,28,413.861416
0.0,27,413.956822
0.0,100,413.969004
0.0,43,414.276575
0.0,62,414.323311
0.0,9,414.389895
0.0,60,414.423288
0.0,19,414.436532
