#{"t_start": 1756398273.156778, "env_id": "ALE/MarioBros-v5"}
r,l,t
1600.0,1962,3998.742483
0.0,2152,4012.730492
0.0,2076,4026.375355
800.0,2158,4040.299544
0.0,1935,4052.711799
800.0,2010,4065.917991
0.0,1376,4074.654186
0.0,1985,4087.538526
0.0,1372,4096.374094
2400.0,1992,4109.957702
0.0,1173,4117.647402
800.0,2001,4130.826505
1600.0,1972,4143.599432
0.0,2074,4157.613319
0.0,2070,4171.094831
0.0,1603,4181.518041
0.0,2162,4195.604833
0.0,1238,4203.447279
0.0,1742,4214.618225
800.0,2092,4228.45603
0.0,685,4232.635806
0.0,1264,4240.509245
0.0,1334,4249.238698
0.0,2508,4265.699898
0.0,2080,4279.018192
0.0,2010,4292.280227
0.0,1940,4304.760582
1600.0,1687,4315.66921
0.0,1696,4326.650283
0.0,1640,4337.181414
0.0,3162,4357.828846
800.0,2412,4373.594778
0.0,1107,4380.641739
0.0,1035,4387.104112
0.0,2756,4405.129542
0.0,1825,4417.047771
800.0,1476,4426.524286
0.0,776,4431.238968
0.0,1974,4443.850183
0.0,761,4448.547706
0.0,2276,4463.172715
0.0,1982,4475.931224
800.0,752,4480.977056
0.0,2732,4498.93154
0.0,1282,4507.124766
1600.0,2308,4522.66181
0.0,2111,4536.972466
0.0,1166,4544.621659
800.0,1699,4555.906271
0.0,1751,4567.589391
800.0,1986,4580.806615
1600.0,2509,4598.75995
0.0,2216,4614.508841
0.0,834,4619.785335
0.0,1851,4632.219387
0.0,1297,4640.702075
0.0,1979,4654.045719
0.0,1045,4660.905845
1600.0,2424,4677.717294
1600.0,2514,4694.888083
0.0,1367,4703.987728
0.0,1568,4714.571323
800.0,2172,4729.16184
0.0,1984,4742.640222
0.0,1637,4753.776555
0.0,1719,4765.264224
0.0,1499,4775.160556
0.0,2103,4789.494401
0.0,2652,4807.40748
0.0,1236,4815.836668
800.0,2419,4832.108318
0.0,2079,4846.883788
0.0,1546,4857.206291
0.0,1517,4867.301738
1600.0,2274,4884.002441
0.0,1126,4894.566931
0.0,1638,4907.329499
0.0,2080,4925.594509
0.0,1911,4939.80259
0.0,2456,4958.460648
0.0,2289,4981.162184
