#{"t_start": 1756313696.299205, "env_id": "ALE/MarioBros-v5"}
r,l,t
17600.0,1743,9421.309791
17600.0,2164,9428.569424
18400.0,2066,9434.860623
17600.0,1971,9551.444882
5600.0,924,9553.936749
4000.0,1018,9556.747568
19200.0,2028,9563.276763
4000.0,945,9566.48327
3200.0,1849,9571.888944
7200.0,1277,9690.056403
12000.0,1854,9695.98249
5600.0,1599,9701.771235
12800.0,1274,9707.877902
6400.0,1773,9714.065135
9600.0,1390,9718.560138
17600.0,2066,9845.196732
18400.0,2318,9852.557592
16800.0,2052,9858.510438
4000.0,1294,9862.418743
15200.0,1810,9983.322674
16000.0,2343,9990.04059
4800.0,1158,9993.496683
11200.0,2058,9999.509653
8800.0,1243,10002.814205
3200.0,1140,10124.863405
17600.0,2233,10131.47514
16000.0,1906,10137.750147
4000.0,992,10141.535345
19200.0,1970,10148.669558
7200.0,1229,10152.933569
17600.0,2042,10301.726188
7200.0,1498,10305.776203
6400.0,1445,10309.637477
4000.0,854,10311.831958
11200.0,1562,10316.774728
8000.0,1135,10320.437712
7200.0,1353,10435.910009
17600.0,1710,10440.513544
3200.0,1170,10443.461008
4800.0,1632,10447.745842
10400.0,1141,10450.651908
7200.0,1133,10453.552648
12000.0,1642,10554.323759
7200.0,1256,10557.526676
4000.0,945,10559.924911
9600.0,1520,10563.859399
10400.0,1834,10568.674102
16800.0,1815,10573.352119
12000.0,1501,10675.615704
10400.0,1656,10679.990451
8800.0,1461,10683.77746
17600.0,1944,10688.835306
2400.0,912,10691.118719
12000.0,1707,10795.743216
17600.0,1831,10800.517914
9600.0,1279,10803.771654
8800.0,1148,10806.70905
5600.0,1080,10809.438283
4000.0,1475,10813.246855
16800.0,1667,10914.681889
5600.0,1615,10918.915432
10400.0,1764,10923.464375
17600.0,1770,10928.098834
10400.0,1525,10932.045474
7200.0,1438,10935.754687
17600.0,1986,11041.142893
17600.0,1961,11046.257539
5600.0,1364,11049.790704
4000.0,1722,11054.385036
9600.0,1291,11057.718335
17600.0,1758,11162.449857
12000.0,1647,11166.716252
8800.0,1424,11170.400075
17600.0,1855,11175.250644
8000.0,1388,11178.850396
16800.0,2384,11281.225605
8800.0,1147,11284.158152
4000.0,841,11286.310999
11200.0,1472,11290.106394
5600.0,1127,11292.96432
8000.0,1142,11295.874305
16800.0,1949,11399.539287
4000.0,1019,11402.094419
7200.0,1181,11405.084152
6400.0,1519,11409.008923
16000.0,2289,11414.99523
4000.0,1129,11417.887964
4800.0,1661,11521.339051
18400.0,1597,11525.499991
4000.0,1406,11529.177384
7200.0,964,11531.613611
17600.0,2002,11536.84621
4000.0,1216,11539.997932
4000.0,866,11639.50671
8800.0,1271,11642.843872
17600.0,2137,11648.320638
17600.0,1816,11652.972762
17600.0,1820,11657.724122
2400.0,688,11659.343663
16800.0,2235,11763.48049
17600.0,1982,11768.463456
5600.0,1117,11771.240806
16800.0,1763,11775.791383
10400.0,1447,11779.488655
11200.0,1448,11878.894992
17600.0,2462,11885.485597
16800.0,2306,11891.371207
4000.0,1235,11894.464435
17600.0,1721,11898.799694
4000.0,1138,11999.612252
12000.0,1371,12003.054663
12000.0,1442,12006.703283
8800.0,975,12009.102694
11200.0,1645,12013.245514
10400.0,1363,12016.930622
4000.0,1133,12117.125523
3200.0,879,12119.214136
8800.0,1648,12123.393693
17600.0,1901,12128.289976
11200.0,1215,12131.317393
10400.0,1244,12134.433306
9600.0,1431,12138.185109
5600.0,824,12239.083456
8800.0,1460,12242.816684
12000.0,1489,12246.718539
4800.0,1007,12249.321854
18400.0,2062,12254.687729
16800.0,1794,12259.373591
17600.0,2103,12363.77238
12000.0,1450,12367.508762
10400.0,1217,12370.661666
12000.0,1862,12375.516483
12000.0,1779,12380.096373
6400.0,1416,12482.412102
1600.0,1253,12485.573698
11200.0,1136,12488.460951
6400.0,1157,12491.418039
7200.0,1784,12496.130064
4800.0,1431,12499.848257
5600.0,1360,12601.459091
17600.0,2959,12609.237805
8800.0,1003,12611.732885
5600.0,1269,12614.965349
7200.0,1573,12619.032527
7200.0,1210,12718.17266
10400.0,1729,12722.650482
19200.0,2016,12727.940002
4800.0,1665,12732.30181
17600.0,2072,12740.644419
7200.0,1033,12844.189302
17600.0,2101,12849.651348
16800.0,1840,12854.404311
12000.0,1561,12858.44395
17600.0,1672,12862.804234
17600.0,1626,12965.510563
12000.0,1599,12969.593545
6400.0,1370,12973.171863
17600.0,1979,12978.342917
7200.0,1564,12982.467681
17600.0,2032,13083.736345
3200.0,971,13086.214845
2400.0,838,13088.358362
4800.0,1476,13092.15191
5600.0,988,13094.65041
7200.0,974,13097.161695
4800.0,1631,13101.462129
16800.0,1904,13206.684233
12000.0,2039,13212.007905
12000.0,2123,13217.592639
5600.0,991,13220.089448
6400.0,1095,13222.902486
16800.0,2240,13328.507384
4800.0,1351,13331.981069
17600.0,1765,13336.601522
14400.0,1743,13341.119481
10400.0,2139,13346.788366
10400.0,1978,13447.937791
10400.0,1452,13451.651823
8800.0,1374,13455.074588
18400.0,2006,13460.204736
17600.0,2120,13465.624782
16800.0,2009,13567.234293
4000.0,1068,13569.878229
12000.0,1271,13573.074496
16800.0,2266,13578.957538
10400.0,1285,13582.170429
12000.0,1534,13682.401309
4000.0,1401,13685.984788
3200.0,686,13687.648818
16800.0,2001,13692.743342
8000.0,977,13695.150777
3200.0,1224,13698.244434
5600.0,1106,13701.019694
12000.0,1343,13798.811159
16800.0,1924,13803.652501
17600.0,1946,13808.650006
12000.0,1387,13812.356875
17600.0,1871,13817.12015
11200.0,1453,13922.023373
