#{"t_start": 1756398273.243715, "env_id": "ALE/MarioBros-v5"}
r,l,t
0.0,2814,6969.420256
1600.0,3226,6998.748613
0.0,2732,7021.252851
0.0,3106,7050.716795
800.0,2656,7075.651424
800.0,4898,7117.267853
0.0,4636,7156.796355
0.0,2785,7182.000133
0.0,3413,7213.943237
0.0,2506,7232.860781
0.0,5109,7269.396434
0.0,3196,7292.59618
0.0,2688,7311.789113
800.0,2345,7328.222334
2400.0,4969,7372.102906
0.0,2761,7399.828869
0.0,1999,7421.679031
2400.0,2152,7436.968507
0.0,2001,7450.792539
0.0,2509,7468.818453
800.0,3384,7499.209888
0.0,2701,7527.843855
800.0,3196,7559.518335
0.0,3232,7586.001779
0.0,2725,7609.452991
1600.0,3383,7644.805029
0.0,2488,7669.357827
0.0,2931,7702.778189
0.0,2688,7727.877458
0.0,3923,7758.853661
0.0,4198,7798.058754
0.0,3398,7823.106719
0.0,2275,7842.727931
0.0,3981,7880.877338
800.0,2740,7907.883759
1600.0,4945,7956.439856
1600.0,2454,7984.534829
0.0,5520,8040.131643
0.0,4228,8070.300902
0.0,3110,8091.173964
0.0,4432,8120.390491
0.0,5626,8157.469772
0.0,4003,8190.34932
0.0,4507,8222.047748
1600.0,5604,8261.057085
0.0,3196,8282.755429
0.0,3524,8307.13942
0.0,5516,8345.123304
0.0,3971,8372.301924
0.0,5230,8407.836012
0.0,3857,8434.063323
0.0,4504,8464.628852
0.0,3065,8490.541697
0.0,4165,8521.715252
800.0,4968,8555.510023
1600.0,3923,8581.85036
0.0,2136,8595.934495
800.0,5376,8632.175067
800.0,3950,8658.810092
800.0,6189,8700.619151
0.0,2700,8718.596741
2400.0,4330,8747.820066
0.0,5379,8784.450425
800.0,4126,8812.245003
0.0,4183,8840.354682
0.0,4920,8873.44925
0.0,3239,8895.656131
800.0,2784,8914.570639
800.0,2709,8932.793139
0.0,4963,8966.1125
0.0,5378,9002.550993
800.0,5416,9039.17892
1600.0,4360,9068.590476
1600.0,4758,9101.623618
0.0,2394,9117.634576
0.0,5002,9152.264592
800.0,4124,9180.182759
1600.0,4366,9209.305497
0.0,4472,9239.365629
0.0,4123,9267.237749
800.0,3291,9289.272778
0.0,3034,9309.670332
0.0,1794,9321.383648
1600.0,11559,9401.167356
800.0,5648,9438.352668
0.0,3132,9459.015864
800.0,4446,9488.073062
0.0,4734,9519.352311
800.0,6520,9561.88295
0.0,4415,9590.75803
0.0,4722,9621.633384
800.0,3509,9644.446758
0.0,7016,9690.447768
0.0,3764,9714.999082
800.0,5572,9751.442361
800.0,5084,9784.437226
0.0,3418,9806.471642
0.0,4944,9838.680145
0.0,9373,9900.287472
2400.0,7547,9949.957583
3200.0,8182,10004.557141
0.0,3714,10028.518884
0.0,2806,10046.585563
800.0,6179,10086.742331
0.0,3342,10108.704291
0.0,2946,10127.571537
0.0,2579,10144.113239
1600.0,4169,10171.251193
2400.0,8046,10223.516686
800.0,5559,10259.712869
0.0,4531,10288.840666
0.0,4460,10317.58151
0.0,3463,10339.792435
0.0,3060,10359.476226
1600.0,4140,10386.208188
0.0,2428,10401.805015
800.0,4410,10430.249725
800.0,6197,10470.550831
0.0,4954,10502.648666
1600.0,4745,10533.416797
0.0,7539,10582.439755
1600.0,7747,10632.961641
0.0,4167,10659.90939
0.0,3414,10681.840036
0.0,5529,10717.618254
0.0,4450,10746.462065
0.0,7482,10795.233139
0.0,3743,10819.389615
0.0,5464,10854.799654
0.0,5520,10890.843207
800.0,5492,10926.248224
0.0,4983,10958.607336
0.0,4160,10985.390464
1600.0,4664,11015.378628
800.0,4744,11045.924857
3200.0,8426,11100.686952
0.0,3607,11123.791155
0.0,4722,11154.709086
2400.0,5553,11190.610367
1600.0,6984,11235.833523
0.0,6000,11274.740891
0.0,6854,11319.332805
0.0,2688,11336.664796
0.0,3460,11358.8418
0.0,4307,11386.622634
800.0,4182,11413.586322
0.0,4381,11441.972407
0.0,3217,11462.765906
0.0,3410,11484.882352
800.0,4396,11513.267106
1600.0,9373,11574.00488
0.0,4957,11605.927955
1600.0,5394,11640.767432
0.0,5344,11675.290212
0.0,2936,11694.69034
0.0,3447,11717.000588
0.0,6464,11759.366527
0.0,5508,11795.067647
0.0,4424,11823.654273
1600.0,11688,11899.581061
1600.0,8114,11971.155391
0.0,4757,12010.61403
0.0,3345,12036.36567
1600.0,3945,12072.206446
1600.0,1721,12083.361608
1600.0,5666,12123.396158
0.0,3398,12145.57634
800.0,3615,12169.243303
0.0,4140,12196.461527
0.0,4236,12224.244937
800.0,4533,12258.137556
800.0,4985,12296.367723
0.0,4972,12329.355868
800.0,2754,12347.228396
800.0,5606,12384.684225
0.0,4063,12411.056714
2400.0,11283,12487.329371
800.0,9821,12569.171418
0.0,4091,12601.848758
0.0,4758,12633.483236
0.0,6210,12681.774228
2400.0,9909,12762.628567
2400.0,4748,12798.746213
3200.0,4486,12831.656962
4000.0,3400,12867.055681
4000.0,1718,12884.000613
1600.0,2792,12904.019675
0.0,2344,12919.022689
0.0,1638,12929.650885
0.0,1065,12936.587113
800.0,3469,12959.518752
0.0,1064,12966.259272
800.0,3105,12986.620926
2400.0,4498,13016.05857
1600.0,2882,13034.968843
2400.0,4548,13064.760113
1600.0,2382,13080.026626
1600.0,1993,13094.115455
3200.0,5452,13144.811442
3200.0,5478,13182.219988
1600.0,2020,13195.84759
800.0,3975,13222.10086
2400.0,5015,13258.85063
1600.0,5593,13297.348006
1600.0,5897,13357.855135
2400.0,5006,13401.220583
800.0,3214,13428.853482
3200.0,4504,13463.462277
4000.0,2467,13484.861095
3200.0,5025,13529.393115
3200.0,4038,13565.619947
1600.0,4696,13608.668727
3200.0,6394,13661.962543
2400.0,6635,13712.428324
3200.0,4385,13751.279513
2400.0,11694,13848.564776
3200.0,5221,13891.520431
4000.0,2602,13909.725193
4000.0,10212,13982.070662
1600.0,5230,14017.411741
4000.0,2293,14032.766922
2400.0,6486,14076.623683
2400.0,4394,14105.841893
3200.0,4140,14134.271006
4000.0,5277,14170.145729
3200.0,6829,14216.144405
4000.0,1727,14227.190192
3200.0,5396,14270.394276
2400.0,5272,14309.996545
800.0,3194,14331.021953
3200.0,1965,14343.992916
3200.0,4043,14372.22761
1600.0,5543,14426.849429
4000.0,4223,14463.464083
3200.0,4724,14499.474791
3200.0,4762,14534.98286
2400.0,8030,14598.76471
1600.0,4063,14627.296937
4000.0,3755,14653.696715
3200.0,5534,14692.056242
2400.0,2171,14706.720522
2400.0,4222,14736.337127
800.0,2743,14754.959853
1600.0,3368,14778.244523
2400.0,8817,14839.872633
4000.0,10358,14912.137786
2400.0,6354,14956.448565
2400.0,5230,14992.380335
800.0,3227,15014.660522
800.0,3978,15042.090468
1600.0,7482,15094.240684
2400.0,7489,15146.381271
3200.0,4283,15175.807284
4000.0,5704,15215.744036
3200.0,4697,15248.048832
3200.0,5979,15289.354682
3200.0,5578,15328.74277
800.0,2700,15347.408763
3200.0,4582,15379.281903
3200.0,4996,15413.706397
1600.0,5044,15448.732457
1600.0,4974,15482.793796
4000.0,7316,15534.308438
4000.0,2431,15551.272177
3200.0,6509,15596.694041
3200.0,6464,15641.485977
2400.0,9686,15715.333029
2400.0,5062,15750.446968
4000.0,12137,15833.133677
2400.0,6211,15874.037018
2400.0,5247,15908.097119
3200.0,3601,15931.465663
2400.0,5236,15965.594326
4000.0,9958,16031.690774
2400.0,2795,16049.930995
2400.0,4362,16078.691563
4000.0,5407,16114.268529
4800.0,4177,16141.478305
1600.0,5230,16175.590502
3200.0,4154,16202.479054
2400.0,5295,16236.926882
2400.0,5248,16271.123816
2400.0,4530,16300.645846
3200.0,3054,16320.182557
1600.0,3231,16344.769842
1600.0,3196,16367.636436
3200.0,4038,16394.104615
